Chain iteration mu_1 sd_1 w_1 w_NS Prob 
1 171 0.78948 0.12057 0.96733 0.032673 1.9934 
1 172 0.80064 0.11671 0.97297 0.027032 1.8716 
1 173 0.81049 0.13534 0.9657 0.034297 1.9518 
1 174 0.80464 0.14504 0.9703 0.029697 2.0672 
1 175 0.76744 0.13842 0.95448 0.045522 2.263 
1 176 0.75624 0.14238 0.93996 0.060039 2.1216 
1 177 0.76215 0.13078 0.92944 0.07056 1.7298 
1 178 0.75601 0.10412 0.92727 0.072732 1.1987 
1 179 0.72923 0.11035 0.91419 0.085815 1.2698 
1 180 0.72923 0.11035 0.91419 0.085815 1.2698 
1 181 0.72735 0.10809 0.90733 0.092667 1.1297 
1 182 0.72029 0.11768 0.90736 0.092644 1.3456 
1 183 0.72029 0.11768 0.90736 0.092644 1.3456 
1 184 0.7038 0.12653 0.90392 0.096085 1.4631 
1 185 0.70317 0.12432 0.8996 0.1004 1.3588 
1 186 0.69788 0.12416 0.8896 0.1104 1.1881 
1 187 0.69788 0.12416 0.8896 0.1104 1.1881 
1 188 0.69788 0.12416 0.8896 0.1104 1.1881 
1 189 0.72189 0.12867 0.89599 0.10401 1.3108 
1 190 0.72189 0.12867 0.89599 0.10401 1.3108 
1 191 0.69557 0.13956 0.8964 0.1036 1.494 
1 192 0.693 0.12749 0.89451 0.10549 1.3131 
1 193 0.693 0.12749 0.89451 0.10549 1.3131 
1 194 0.71533 0.12676 0.89744 0.10256 1.3395 
1 195 0.71533 0.12676 0.89744 0.10256 1.3395 
1 196 0.71533 0.12676 0.89744 0.10256 1.3395 
1 197 0.71533 0.12676 0.89744 0.10256 1.3395 
1 198 0.72371 0.13075 0.91451 0.085487 1.6741 
1 199 0.7264 0.12369 0.90767 0.092329 1.4405 
1 200 0.70587 0.12781 0.91694 0.083064 1.6834 
1 201 0.70587 0.12781 0.91694 0.083064 1.6834 
1 202 0.68682 0.14081 0.92525 0.074753 1.9614 
1 203 0.67803 0.1439 0.92792 0.072076 2.0062 
1 204 0.69789 0.14988 0.94752 0.052475 2.4537 
1 205 0.71115 0.13611 0.94384 0.056155 2.1988 
1 206 0.70316 0.13515 0.94252 0.057483 2.1302 
1 207 0.68252 0.12819 0.95385 0.046146 1.7909 
1 208 0.68252 0.12819 0.95385 0.046146 1.7909 
1 209 0.68252 0.12819 0.95385 0.046146 1.7909 
1 210 0.71946 0.13607 0.9698 0.030195 2.4282 
1 211 0.72419 0.13963 0.96793 0.032071 2.5535 
1 212 0.72419 0.13963 0.96793 0.032071 2.5535 
1 213 0.72419 0.13963 0.96793 0.032071 2.5535 
1 214 0.74423 0.12406 0.95287 0.047129 2.0408 
1 215 0.75952 0.13029 0.94675 0.05325 2.0509 
1 216 0.75952 0.13029 0.94675 0.05325 2.0509 
1 217 0.77397 0.12878 0.95067 0.049328 1.9914 
1 218 0.7841 0.12463 0.94578 0.054224 1.7426 
1 219 0.7841 0.12463 0.94578 0.054224 1.7426 
1 220 0.77472 0.11913 0.96994 0.030064 2.0241 
1 221 0.75687 0.12091 0.96257 0.037429 2.0366 
1 222 0.75599 0.13471 0.95509 0.044914 2.2834 
1 223 0.75599 0.13471 0.95509 0.044914 2.2834 
1 224 0.772 0.13834 0.95358 0.046417 2.207 
1 225 0.76718 0.12518 0.94396 0.056043 1.8624 
1 226 0.7568 0.14271 0.94233 0.057665 2.1675 
1 227 0.73851 0.13841 0.95108 0.048921 2.3485 
1 228 0.73851 0.13841 0.95108 0.048921 2.3485 
1 229 0.73851 0.13841 0.95108 0.048921 2.3485 
1 230 0.75976 0.13301 0.95165 0.048349 2.1786 
1 231 0.76111 0.13228 0.94658 0.053418 2.0729 
1 232 0.76129 0.15078 0.96232 0.037683 2.6086 
1 233 0.74625 0.14003 0.96467 0.035335 2.5564 
1 234 0.72085 0.13575 0.96917 0.030827 2.4192 
1 235 0.72085 0.13575 0.96917 0.030827 2.4192 
1 236 0.75175 0.15527 0.9864 0.0136 3.1447 
1 237 0.75175 0.15527 0.9864 0.0136 3.1447 
1 238 0.73175 0.16231 0.98642 0.013582 3.2654 
1 239 0.73175 0.16231 0.98642 0.013582 3.2654 
1 240 0.74173 0.17652 0.99771 0.0022855 3.6122 
