Chain iteration mu_1 sd_1 w_1 w_NS Prob 
1 147 0.67735 0.33761 0.96579 0.03421 -6.2955 
1 148 0.67735 0.33761 0.96579 0.03421 -6.2955 
1 149 0.67364 0.33497 0.95712 0.042877 -6.2249 
1 150 0.69328 0.35368 0.95589 0.04411 -6.2917 
1 151 0.68799 0.34018 0.94467 0.055326 -6.2168 
1 152 0.69847 0.34944 0.95306 0.046938 -6.2899 
1 153 0.68825 0.35297 0.94293 0.057069 -6.2706 
1 154 0.69437 0.35323 0.93549 0.064511 -6.312 
1 155 0.67059 0.34849 0.92569 0.074311 -6.2271 
1 156 0.68081 0.33456 0.90911 0.090889 -6.2535 
1 157 0.64524 0.33762 0.91324 0.086761 -6.1515 
1 158 0.67026 0.32491 0.90723 0.09277 -6.1721 
1 159 0.6871 0.33465 0.9012 0.098796 -6.3237 
1 160 0.69763 0.32005 0.90268 0.097325 -6.2675 
1 161 0.72864 0.32783 0.90908 0.090921 -6.4502 
1 162 0.72864 0.32783 0.90908 0.090921 -6.4502 
1 163 0.72583 0.31979 0.90051 0.099488 -6.434 
1 164 0.72692 0.30729 0.91071 0.089294 -6.3037 
1 165 0.70018 0.291 0.90797 0.092031 -6.1169 
1 166 0.70018 0.291 0.90797 0.092031 -6.1169 
1 167 0.74307 0.29198 0.91808 0.081917 -6.2937 
1 168 0.74486 0.30001 0.91889 0.081109 -6.3347 
1 169 0.75985 0.32336 0.94431 0.055688 -6.4924 
1 170 0.76729 0.32372 0.94048 0.059521 -6.555 
1 171 0.78018 0.31402 0.92585 0.074152 -6.6544 
1 172 0.81721 0.33123 0.92794 0.072061 -7.1226 
1 173 0.80898 0.31936 0.93797 0.06203 -6.8996 
1 174 0.81926 0.32768 0.92851 0.071495 -7.1153 
1 175 0.81691 0.32287 0.92131 0.078686 -7.1008 
1 176 0.81992 0.32146 0.91295 0.087045 -7.1828 
1 177 0.81992 0.32146 0.91295 0.087045 -7.1828 
1 178 0.84475 0.32178 0.9249 0.075099 -7.3914 
1 179 0.80648 0.32127 0.92038 0.079617 -6.984 
1 180 0.80648 0.32127 0.92038 0.079617 -6.984 
1 181 0.78046 0.32678 0.932 0.068 -6.7111 
1 182 0.76784 0.33459 0.95306 0.046939 -6.5897 
1 183 0.76784 0.33459 0.95306 0.046939 -6.5897 
1 184 0.77212 0.34238 0.94502 0.054983 -6.6704 
1 185 0.77212 0.34238 0.94502 0.054983 -6.6704 
1 186 0.75848 0.32829 0.94474 0.055264 -6.5073 
1 187 0.77109 0.32355 0.95707 0.042933 -6.5612 
1 188 0.74683 0.32084 0.96026 0.039736 -6.4228 
1 189 0.73498 0.32939 0.95792 0.042076 -6.3827 
1 190 0.74457 0.33009 0.976 0.024002 -6.5104 
1 191 0.74457 0.33009 0.976 0.024002 -6.5104 
1 192 0.73409 0.33701 0.97764 0.022365 -6.4842 
1 193 0.73409 0.33701 0.97764 0.022365 -6.4842 
1 194 0.74138 0.34547 0.99299 0.0070114 -6.6483 
1 195 0.73224 0.34946 0.98592 0.014085 -6.5474 
1 196 0.7415 0.35579 0.97364 0.026362 -6.5213 
1 197 0.76744 0.35457 0.96058 0.039424 -6.6731 
1 198 0.75154 0.36574 0.95908 0.040924 -6.6325 
1 199 0.75904 0.37094 0.93222 0.067783 -6.8638 
1 200 0.75904 0.37094 0.93222 0.067783 -6.8638 
1 201 0.75015 0.37409 0.93312 0.066878 -6.8206 
1 202 0.7317 0.36039 0.93903 0.060974 -6.543 
1 203 0.70237 0.35912 0.95832 0.041679 -6.3448 
1 204 0.70237 0.35912 0.95832 0.041679 -6.3448 
1 205 0.68199 0.34033 0.96456 0.035445 -6.2854 
1 206 0.7159 0.34812 0.96725 0.032749 -6.3788 
1 207 0.71343 0.34736 0.98228 0.017725 -6.4792 
1 208 0.72299 0.37004 0.97253 0.027468 -6.4856 
1 209 0.7021 0.36727 0.97772 0.022278 -6.4257 
1 210 0.71267 0.36583 0.96969 0.030312 -6.4245 
1 211 0.70388 0.36545 0.97643 0.023569 -6.4202 
