mu_1 sd_1 w_1 mu_2 sd_2 w_2 w_NS
0 185 0.252994 0.366963 0.845089 0.154911 -8.21146
0 186 0.28658 0.380053 0.856573 0.143427 -7.74252
0 187 0.310928 0.367858 0.86381 0.13619 -7.57778
0 188 0.288478 0.363708 0.867442 0.132558 -7.76008
0 189 0.288478 0.363708 0.867442 0.132558 -7.76008
0 190 0.29198 0.364095 0.880845 0.119155 -7.66424
0 191 0.280196 0.37545 0.876684 0.123316 -7.66504
0 192 0.287214 0.3663 0.890878 0.109122 -7.65779
0 193 0.34118 0.377745 0.89221 0.10779 -7.1495
0 194 0.3246 0.372679 0.881351 0.118649 -7.33966
0 195 0.326954 0.371327 0.887826 0.112174 -7.30921
0 196 0.326954 0.371327 0.887826 0.112174 -7.30921
0 197 0.295678 0.372192 0.884644 0.115356 -7.54149
0 198 0.295678 0.372192 0.884644 0.115356 -7.54149
0 199 0.295678 0.372192 0.884644 0.115356 -7.54149
0 200 0.311909 0.369292 0.873891 0.126109 -7.49484
0 201 0.311909 0.369292 0.873891 0.126109 -7.49484
0 202 0.337161 0.382359 0.878647 0.121353 -7.21069
0 203 0.317684 0.3832 0.885078 0.114922 -7.29335
0 204 0.317684 0.3832 0.885078 0.114922 -7.29335
0 205 0.354184 0.391894 0.893789 0.106211 -6.98345
0 206 0.342677 0.381427 0.895642 0.104358 -7.10467
0 207 0.372236 0.38954 0.906083 0.0939166 -6.8597
0 208 0.374302 0.38225 0.905021 0.0949794 -6.89038
0 209 0.370251 0.394582 0.913796 0.0862037 -6.83628
0 210 0.38108 0.389132 0.90205 0.09795 -6.82216
0 211 0.399674 0.38364 0.910265 0.0897353 -6.74485
0 212 0.4013 0.384315 0.909452 0.0905479 -6.72669
0 213 0.41542 0.378048 0.887782 0.112218 -6.74759
0 214 0.375473 0.375709 0.884702 0.115298 -6.97964
0 215 0.411224 0.378266 0.900416 0.0995838 -6.71549
0 216 0.437242 0.369429 0.900138 0.0998625 -6.61963
0 217 0.435075 0.357159 0.905607 0.0943925 -6.6843
0 218 0.426917 0.353898 0.892103 0.107897 -6.75768
0 219 0.44306 0.365288 0.884889 0.115111 -6.65999
0 220 0.462632 0.350588 0.885181 0.114819 -6.59663
0 221 0.484099 0.366754 0.895418 0.104582 -6.44785
0 222 0.464276 0.38276 0.911968 0.0880324 -6.45221
0 223 0.440136 0.387262 0.915616 0.0843842 -6.53144
0 224 0.436531 0.38349 0.911257 0.0887426 -6.56058
0 225 0.433758 0.399033 0.918727 0.0812735 -6.52553
0 226 0.424567 0.393905 0.920381 0.0796191 -6.57563
0 227 0.425512 0.397649 0.915467 0.0845332 -6.56392
0 228 0.426365 0.392163 0.928148 0.0718522 -6.58963
0 229 0.453993 0.380457 0.928873 0.0711272 -6.51667
0 230 0.470208 0.385617 0.917674 0.0823255 -6.42029
0 231 0.482866 0.384882 0.91366 0.0863401 -6.38868
0 232 0.482478 0.385563 0.915649 0.0843508 -6.38974
0 233 0.466852 0.366434 0.924911 0.0750892 -6.51053
0 234 0.456392 0.349002 0.927603 0.0723967 -6.71733
0 235 0.433683 0.354204 0.933316 0.0666838 -6.89435
0 236 0.433683 0.354204 0.933316 0.0666838 -6.89435
0 237 0.445764 0.361266 0.941873 0.0581267 -6.83771
0 238 0.445764 0.361266 0.941873 0.0581267 -6.83771
0 239 0.412416 0.371587 0.949258 0.0507424 -7.09976
0 240 0.404908 0.360398 0.955597 0.0444033 -7.52862
0 241 0.404908 0.360398 0.955597 0.0444033 -7.52862
0 242 0.415689 0.363642 0.968122 0.0318776 -7.81273
0 243 0.428635 0.361647 0.940329 0.0596713 -6.94211
0 244 0.44504 0.35823 0.936986 0.0630136 -6.80875
0 245 0.446611 0.351391 0.912711 0.0872885 -6.66652
0 246 0.466581 0.355716 0.911511 0.0884889 -6.5168
0 247 0.458957 0.352006 0.904625 0.0953749 -6.57438
0 248 0.475535 0.341346 0.907545 0.0924553 -6.5417
0 249 0.470388 0.332789 0.898929 0.101071 -6.60906
0 250 0.485538 0.321163 0.897355 0.102645 -6.58972
0 251 0.481413 0.325591 0.892853 0.107147 -6.58365
0 252 0.48482 0.335271 0.914264 0.0857361 -6.55185
0 253 0.472797 0.33049 0.915984 0.0840164 -6.68448
0 254 0.472797 0.33049 0.915984 0.0840164 -6.68448
0 255 0.46974 0.340528 0.925001 0.0749993 -6.67894
0 256 0.46974 0.340528 0.925001 0.0749993 -6.67894
0 257 0.48311 0.331656 0.926574 0.0734261 -6.68635
0 258 0.525695 0.335365 0.924595 0.0754051 -6.36858
0 259 0.528137 0.338713 0.934264 0.0657361 -6.40749
0 260 0.505606 0.324278 0.931148 0.0688524 -6.64579
0 261 0.505689 0.331945 0.937675 0.0623247 -6.65064
0 262 0.524829 0.334013 0.927893 0.072107 -6.40326
0 263 0.524829 0.334013 0.927893 0.072107 -6.40326
0 264 0.539007 0.336474 0.926929 0.0730705 -6.31064
0 265 0.523206 0.349437 0.928424 0.0715761 -6.3349
0 266 0.538871 0.340068 0.940954 0.0590464 -6.4062
0 267 0.538871 0.340068 0.940954 0.0590464 -6.4062
0 268 0.570935 0.337282 0.94155 0.0584495 -6.27519
0 269 0.54388 0.320433 0.939794 0.0602063 -6.5178
0 270 0.534619 0.332329 0.941238 0.0587621 -6.49288
0 271 0.534619 0.332329 0.941238 0.0587621 -6.49288
0 272 0.51849 0.336051 0.942587 0.057413 -6.58651
0 273 0.538613 0.346335 0.946271 0.0537292 -6.42821
0 274 0.548246 0.352193 0.969032 0.0309681 -6.73766
0 275 0.536898 0.352203 0.968633 0.0313666 -6.81466
0 276 0.548813 0.352057 0.961758 0.038242 -6.56952
0 277 0.548813 0.352057 0.961758 0.038242 -6.56952
0 278 0.592069 0.359541 0.960206 0.0397941 -6.31042
0 279 0.586047 0.358058 0.955219 0.0447812 -6.27924
0 280 0.564831 0.352629 0.951242 0.0487576 -6.32739
0 281 0.556761 0.356593 0.955086 0.0449136 -6.38862
0 282 0.539642 0.35853 0.957068 0.0429316 -6.48828
0 283 0.533641 0.362172 0.959588 0.0404123 -6.53671
0 284 0.528914 0.36017 0.949151 0.050849 -6.4268
0 285 0.533295 0.354982 0.944538 0.0554623 -6.38471
0 286 0.517799 0.364554 0.93667 0.0633297 -6.34626
0 287 0.517799 0.364554 0.93667 0.0633297 -6.34626
0 288 0.507641 0.385078 0.944347 0.0556532 -6.36393
0 289 0.530066 0.389627 0.934092 0.0659078 -6.27089
0 290 0.514427 0.39834 0.932775 0.0672252 -6.30427
0 291 0.518789 0.402931 0.932127 0.0678726 -6.30481
0 292 0.513933 0.405028 0.923169 0.0768313 -6.33565
0 293 0.504219 0.417644 0.932064 0.0679357 -6.34935
0 294 0.504458 0.430502 0.911294 0.0887058 -6.51135
0 295 0.507157 0.420114 0.917866 0.0821336 -6.41722
0 296 0.500366 0.423095 0.922857 0.0771434 -6.4047
0 297 0.51424 0.420521 0.917692 0.0823084 -6.41926
0 298 0.54167 0.418172 0.900042 0.0999584 -6.5568
0 299 0.519095 0.424049 0.913523 0.086477 -6.45913
0 300 0.530878 0.431989 0.907685 0.0923147 -6.56905
0 301 0.528652 0.419479 0.899301 0.100699 -6.5589
0 302 0.547245 0.424408 0.899068 0.100932 -6.6165
0 303 0.498066 0.430299 0.908794 0.0912056 -6.52424
0 304 0.520431 0.426568 0.910664 0.0893359 -6.50107
0 305 0.520431 0.426568 0.910664 0.0893359 -6.50107
0 306 0.51706 0.441085 0.912154 0.0878459 -6.57465
0 307 0.512628 0.447452 0.894313 0.105687 -6.7878
0 308 0.506474 0.45204 0.892439 0.107561 -6.83608
0 309 0.488529 0.436279 0.884013 0.115987 -6.8001
0 310 0.48272 0.436357 0.877259 0.122741 -6.87402
0 311 0.525315 0.453398 0.890264 0.109736 -6.89939
0 312 0.524639 0.453639 0.888804 0.111196 -6.91709
0 313 0.525905 0.457433 0.893831 0.106169 -6.89422
